id_municipio	municipio	id_provincia	provincia	id_comunidad	comunidad	es_capital_de_provincia	es_capital_de_comunidad	latitud	longitud	poblacion
01001	Alegría-Dulantzi	01	Araba/Álava	16	País Vasco	0	0	42,84149	-2,513507	2870
01002	Amurrio	01	Araba/Álava	16	País Vasco	0	0	43,05265	-3,001022	10139
01003	Aramaio	01	Araba/Álava	16	País Vasco	0	0	43,054	-2,566	1491
01004	Artziniega	01	Araba/Álava	16	País Vasco	0	0	43,1222	-3,128209	1832
01006	Armiñón	01	Araba/Álava	16	País Vasco	0	0	42,72305	-2,872574	237
01008	Arratzua-Ubarrundia	01	Araba/Álava	16	País Vasco	0	0	42,89028	-2,639167	981
01009	Asparrena	01	Araba/Álava	16	País Vasco	0	0	42,89567	-2,321	1671
01010	Ayala/Aiara	01	Araba/Álava	16	País Vasco	0	0	43,08333	-3,063056	2935
01011	Baños de Ebro/Mañueta	01	Araba/Álava	16	País Vasco	0	0	42,53029	-2,679144	323
01013	Barrundia	01	Araba/Álava	16	País Vasco	0	0	42,91669	-2,491817	924
01014	Berantevilla	01	Araba/Álava	16	País Vasco	0	0	42,68245	-2,860401	479
01016	Bernedo	01	Araba/Álava	16	País Vasco	0	0	42,62669	-2,497532	567
01017	Campezo/Kanpezu	01	Araba/Álava	16	País Vasco	0	0	42,69194	-2,37	1127
01018	Zigoitia	01	Araba/Álava	16	País Vasco	0	0	42,9682	-2,7183	1755
01019	Kripan	01	Araba/Álava	16	País Vasco	0	0	42,59167	-2,516079	198
01020	Kuartango	01	Araba/Álava	16	País Vasco	0	0	42,87139	-2,885556	357
01021	Elburgo/Burgelu	01	Araba/Álava	16	País Vasco	0	0	42,84956	-2,544762	617
01022	Elciego	01	Araba/Álava	16	País Vasco	0	0	42,51507	-2,618277	1045
01023	Elvillar/Bilar	01	Araba/Álava	16	País Vasco	0	0	42,5705	-2,544915	357
01027	Iruraiz-Gauna	01	Araba/Álava	16	País Vasco	0	0	42,82207	-2,495043	517
01028	Labastida/Bastida	01	Araba/Álava	16	País Vasco	0	0	42,59042	-2,793166	1476
01030	Lagrán	01	Araba/Álava	16	País Vasco	0	0	42,6264	-2,58382	170
01031	Laguardia	01	Araba/Álava	16	País Vasco	0	0	42,55428	-2,584237	1528
01032	Lanciego/Lantziego	01	Araba/Álava	16	País Vasco	0	0	42,56262	-2,513204	685
01033	Lapuebla de Labarca	01	Araba/Álava	16	País Vasco	0	0	42,49467	-2,575167	828
01034	Leza	01	Araba/Álava	16	País Vasco	0	0	42,56607	-2,633635	213
01036	Laudio/Llodio	01	Araba/Álava	16	País Vasco	0	0	43,14333	-2,962985	18510
01037	Arraia-Maeztu	01	Araba/Álava	16	País Vasco	0	0	42,73981	-2,44598	731
01039	Moreda de Álava/Moreda Araba	01	Araba/Álava	16	País Vasco	0	0	42,52802	-2,40767	238
01041	Navaridas	01	Araba/Álava	16	País Vasco	0	0	42,54517	-2,624532	223
01042	Okondo	01	Araba/Álava	16	País Vasco	0	0	43,16222	-3,018889	1149
01043	Oyón-Oion	01	Araba/Álava	16	País Vasco	0	0	42,50614	-2,436965	3279
01044	Peñacerrada-Urizaharra	01	Araba/Álava	16	País Vasco	0	0	42,6441	-2,713375	269
01046	Erriberagoitia/Ribera Alta	01	Araba/Álava	16	País Vasco	0	0	42,71577	-2,968477	758
01047	Ribera Baja/Erribera Beitia	01	Araba/Álava	16	País Vasco	0	0	42,71267	-2,918541	1334
01049	Añana	01	Araba/Álava	16	País Vasco	0	0	42,80235	-2,982607	154
01051	Salvatierra/Agurain	01	Araba/Álava	16	País Vasco	0	0	42,85244	-2,389455	4995
01052	Samaniego	01	Araba/Álava	16	País Vasco	0	0	42,56983	-2,680185	326
01053	San Millán/Donemiliaga	01	Araba/Álava	16	País Vasco	0	0	42,87472	-2,376111	743
01054	Urkabustaiz	01	Araba/Álava	16	País Vasco	0	0	42,97194	-2,922222	1300
01055	Valdegovía/Gaubea	01	Araba/Álava	16	País Vasco	0	0	42,85	-3,1	1044
01056	Harana/Valle de Arana	01	Araba/Álava	16	País Vasco	0	0	42,75673	-2,321858	260
01057	Villabuena de Álava/Eskuernaga	01	Araba/Álava	16	País Vasco	0	0	42,54872	-2,665456	310
01058	Legutio	01	Araba/Álava	16	País Vasco	0	0	42,97782	-2,642724	1749
01059	Vitoria-Gasteiz	01	Araba/Álava	16	País Vasco	1	1	42,84641	-2,667893	241386
01060	Yécora/Iekora	01	Araba/Álava	16	País Vasco	0	0	42,5693	-2,470064	265
01061	Zalduondo	01	Araba/Álava	16	País Vasco	0	0	42,88563	-2,347254	186
01062	Zambrana	01	Araba/Álava	16	País Vasco	0	0	42,65998	-2,879353	422
01063	Zuia	01	Araba/Álava	16	País Vasco	0	0	42,98167	-2,844	2427
01901	Iruña Oka/Iruña de Oca	01	Araba/Álava	16	País Vasco	0	0	42,81917	-2,807778	3100
01902	Lantarón	01	Araba/Álava	16	País Vasco	0	0	42,75667	-2,987556	937
02001	Abengibre	02	Albacete	08	Castilla - La Mancha	0	0	39,20999	-1,544182	775
02002	Alatoz	02	Albacete	08	Castilla - La Mancha	0	0	39,09464	-1,361155	580
02003	Albacete	02	Albacete	08	Castilla - La Mancha	1	0	38,99765	-1,86007	172487
02004	Albatana	02	Albacete	08	Castilla - La Mancha	0	0	38,56977	-1,524207	748
02005	Alborea	02	Albacete	08	Castilla - La Mancha	0	0	39,27951	-1,39587	778
02006	Alcadozo	02	Albacete	08	Castilla - La Mancha	0	0	38,64877	-1,981464	684
02007	Alcalá del Júcar	02	Albacete	08	Castilla - La Mancha	0	0	39,19346	-1,429671	1307
02008	Alcaraz	02	Albacete	08	Castilla - La Mancha	0	0	38,66966	-2,492647	1533
02009	Almansa	02	Albacete	08	Castilla - La Mancha	0	0	38,86941	-1,097517	25024
02010	Alpera	02	Albacete	08	Castilla - La Mancha	0	0	38,95939	-1,231247	2358
02011	Ayna	02	Albacete	08	Castilla - La Mancha	0	0	38,55318	-2,070846	719
02012	Balazote	02	Albacete	08	Castilla - La Mancha	0	0	38,88408	-2,150826	2417
02013	Balsa de Ves	02	Albacete	08	Castilla - La Mancha	0	0	39,26442	-1,195344	176
02014	El Ballestero	02	Albacete	08	Castilla - La Mancha	0	0	38,84107	-2,455432	459
02015	Barrax	02	Albacete	08	Castilla - La Mancha	0	0	39,04573	-2,200169	1920
02016	Bienservida	02	Albacete	08	Castilla - La Mancha	0	0	38,51517	-2,611526	668
